"title","X","sort","date","genre","genre.2","genre.3","int.ext.ratio","int.ext.weighted","int.percent","int.weight.ratio","int.0.0","int.0.0~0.25","int.0.25~0.50","int.0.50~0.75","int.0.75~1.0","int.1.0","dom.0.0","dom.0.0~0.25","dom.0.25~0.50","dom.0.50~0.75","dom.0.75~1.0","dom.1.0","work.0.0","work.0.0~0.25","work.0.25~0.50","work.0.50~0.75","work.0.75~1.0","work.1.0"
"95","Battle-of-Shaker-Heights,-The"," 95"," 126","2003","drama","drama","comedy"," 2.06250000"," 1.06606811","0.67346939","0.5168815",0,0.68,0.8,0.72,0.48,1,0,0.5,0.5,0.57,0.43,1,0,0.5,0.5,0.43,0.57,0
"96","Bean"," 96"," 127","1997","comedy","family",""," 3.26190476"," 1.84860033","0.76536313","0.5667242",1,0.73,0.82,0.8,0.71,0,0,NA,1,1,NA,0,0,NA,0,0,NA,0
"97","Beasts-of-the-Southern-Wild"," 97"," 128","2012","fantasy","drama",""," 0.56944444"," 0.34733123","0.36283186","0.6099475",0,0.24,0.39,0.52,0.38,0,1,0.64,0.38,0.33,1,0,0,0.36,0.62,0.67,0,0
"98","Beavis-and-Butt-head-Do-America"," 98"," 129","1996","comedy","adventure","comedy"," 1.20000000"," 0.68534020","0.54545455","0.5711168",1,0.67,0.51,0.41,0.6,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0
"99","Beginners"," 99"," 130","2010","comedy","drama","drama"," 3.64864865"," 1.79705577","0.78488372","0.4925264",1,0.77,0.8,0.82,0.7,1,1,0.71,0.62,0.79,0.84,0,0,0.29,0.38,0.21,0.16,0
"100","Being-Human","100"," 131","1994","comedy","drama",""," 0.46428571"," 0.23755703","0.31707317","0.5116613",0,0.5,0.33,0.12,0.34,0,0,0.67,0.44,0.67,0.75,0,0,0.33,0.56,0.33,0.25,0
"101","Being-John-Malkovich","101"," 132","1999","fantasy","drama","comedy"," 6.39130435"," 4.34783590","0.86470588","0.6802736",1,0.88,0.91,0.88,0.78,1,0,0.52,0.29,0.58,0.43,0,0,0.48,0.71,0.42,0.57,0
"102","Believer,-The","102"," 134","2001","drama","",""," 1.36000000"," 0.96098669","0.57627119","0.7066079",1,0.68,0.55,0.58,0.55,1,0,0.67,0.68,0.72,0.44,0,1,0.33,0.32,0.28,0.56,1
"103","Beloved","103"," 135","1998","drama","history","horror"," 1.01010101"," 0.55800662","0.50251256","0.5524266",0,0.57,0.4,0.44,0.58,1,0,0.91,0.67,0.88,0.89,0,0,0.09,0.33,0.12,0.11,0
"104","Best-Exotic-Marigold-Hotel,-The","104"," 137","2011","comedy","drama",""," 0.66666667"," 0.35823518","0.40000000","0.5373528",1,0.54,0.39,0.44,0.28,0,1,0.5,0.54,0.71,0.67,0,0,0.5,0.46,0.29,0.33,0
